ecaa25 Samsung
ecbe5f Vestel_Elektronik
f021e0 Eero_Inc
f04f7c Amazon
f08620 Arcadyan
f08a76 Samsung
f09e4a Intel
f0a3b2 Hui_Zhou_Gaoshengda
f0ef86 Google
f40223 PAX_Computers
f4032a Amazon
f412fa Espressif
f42e7f Aruba_HP
f4428f Samsung
f4b85e Texas_Instruments
f4bf80 Huawei
f4c248 Samsung
f4e11e Texas_Instruments
f80ff9 Google
f83869 LG_Electronics
f84fc4 No_Vendor
f8633f Intel
f8c39e Huawei
fc492d Amazon
fc614f No_Vendor
fc62b9 Alpsalpine
fc65de Amazon
fcdb21 Samsara_networks
fce9d8 Amazon
fcfec2 Invensys_controls
ffff6a No_Vendor
ic1adf Microsoft
